scheme,size,rep,pi,verify_ms
VESTA-256,5000,2,nonmem,0.0669
VESTA-2048,5000,2,mem,0.2524
VESTA-2048,5000,2,nonmem,0.358
MHT,5000,2,mem,0.0098
MHT,5000,2,nonmem,0.0235
VESTA-256,5000,3,mem,0.1087
VESTA-256,5000,3,nonmem,0.0496
VESTA-2048,5000,3,mem,0.2169
VESTA-2048,5000,3,nonmem,0.3677
MHT,5000,3,mem,0.0091
MHT,5000,3,nonmem,0.0231
VESTA-256,5000,4,mem,0.0716
VESTA-256,5000,4,nonmem,0.0741
VESTA-2048,5000,4,mem,0.1947
VESTA-2048,5000,4,nonmem,0.3922
MHT,5000,4,mem,0.0094
MHT,5000,4,nonmem,0.0209
VESTA-256,5000,5,mem,0.0624
VESTA-256,5000,5,nonmem,0.0534
VESTA-2048,5000,5,mem,0.221
VESTA-2048,5000,5,nonmem,0.3382
MHT,5000,5,mem,0.0103
MHT,5000,5,nonmem,0.0235
VESTA-256,5000,6,mem,0.0592
VESTA-256,5000,6,nonmem,0.0587
VESTA-2048,5000,6,mem,0.2232
VESTA-2048,5000,6,nonmem,0.3636
MHT,5000,6,mem,0.0103
MHT,5000,6,nonmem,0.0213
VESTA-256,5000,7,mem,0.0725
VESTA-256,5000,7,nonmem,0.1014
VESTA-2048,5000,7,mem,0.1963
VESTA-2048,5000,7,nonmem,0.4224
MHT,5000,7,mem,0.0105
MHT,5000,7,nonmem,0.0249
VESTA-256,5000,8,mem,0.0578
VESTA-256,5000,8,nonmem,0.0622
VESTA-2048,5000,8,mem,0.223
VESTA-2048,5000,8,nonmem,0.3997
MHT,5000,8,mem,0.0104
MHT,5000,8,nonmem,0.0237
VESTA-256,5000,9,mem,0.0698
VESTA-256,5000,9,nonmem,0.0591
VESTA-2048,5000,9,mem,0.2167
VESTA-2048,5000,9,nonmem,0.3586
MHT,5000,9,mem,0.0115
MHT,5000,9,nonmem,0.0228
VESTA-256,10000,0,mem,0.0664
VESTA-256,10000,0,nonmem,0.0625
VESTA-2048,10000,0,mem,0.2414
VESTA-2048,10000,0,nonmem,0.3851
MHT,10000,0,mem,0.0121
MHT,10000,0,nonmem,0.0219
VESTA-256,10000,1,mem,0.0497
VESTA-256,10000,1,nonmem,0.0722
VESTA-2048,10000,1,mem,0.2195
VESTA-2048,10000,1,nonmem,0.3841
MHT,10000,1,mem,0.0111
MHT,10000,1,nonmem,0.0214
VESTA-256,10000,2,mem,0.0696
VESTA-256,10000,2,nonmem,0.0686
VESTA-2048,10000,2,mem,0.2025
VESTA-2048,10000,2,nonmem,0.3661
MHT,10000,2,mem,0.0107
MHT,10000,2,nonmem,0.0225
VESTA-256,10000,3,mem,0.0879
VESTA-256,10000,3,nonmem,0.0547
VESTA-2048,10000,3,mem,0.2055
VESTA-2048,10000,3,nonmem,0.3635
MHT,10000,3,mem,0.0096
MHT,10000,3,nonmem,0.0232
VESTA-256,10000,4,mem,0.0602
VESTA-256,10000,4,nonmem,0.0749
VESTA-2048,10000,4,mem,0.2077
VESTA-2048,10000,4,nonmem,0.3859
MHT,10000,4,mem,0.011
MHT,10000,4,nonmem,0.0231
VESTA-256,10000,5,mem,0.0776
VESTA-256,10000,5,nonmem,0.0709
VESTA-2048,10000,5,mem,0.2081
VESTA-2048,10000,5,nonmem,0.3545
MHT,10000,5,mem,0.01
MHT,10000,5,nonmem,0.0227
VESTA-256,10000,6,mem,0.0576
VESTA-256,10000,6,nonmem,0.0755
VESTA-2048,10000,6,mem,0.2126
VESTA-2048,10000,6,nonmem,0.3962
MHT,10000,6,mem,0.0107
MHT,10000,6,nonmem,0.0206
VESTA-256,10000,7,mem,0.0499
VESTA-256,10000,7,nonmem,0.1016
VESTA-2048,10000,7,mem,0.2121
VESTA-2048,10000,7,nonmem,0.4032
MHT,10000,7,mem,0.0105
MHT,10000,7,nonmem,0.022
VESTA-256,10000,8,mem,0.0542
VESTA-256,10000,8,nonmem,0.081
VESTA-2048,10000,8,mem,0.1938
VESTA-2048,10000,8,nonmem,0.3413
MHT,10000,8,mem,0.0119
MHT,10000,8,nonmem,0.0238
VESTA-256,10000,9,mem,0.0829
VESTA-256,10000,9,nonmem,0.0639
VESTA-2048,10000,9,mem,0.2265
VESTA-2048,10000,9,nonmem,0.3429
MHT,10000,9,mem,0.0117
MHT,10000,9,nonmem,0.0237
SMT,500,0,mem,0.2021
SMT,500,0,nonmem,0.185
SMT,500,1,mem,0.1934
SMT,500,1,nonmem,0.1834
SMT,500,2,mem,0.1839
SMT,500,2,nonmem,0.1994
SMT,500,3,mem,0.1886
SMT,500,3,nonmem,0.1824
SMT,500,4,mem,0.1911
SMT,500,4,nonmem,0.1943
SMT,500,5,mem,0.2153
SMT,500,5,nonmem,0.2057
SMT,500,6,mem,0.1904
SMT,500,6,nonmem,0.1947
SMT,500,7,mem,0.2067
SMT,500,7,nonmem,0.2196
SMT,500,8,mem,0.1955
SMT,500,8,nonmem,0.1944
SMT,500,9,mem,0.1974
SMT,500,9,nonmem,0.1975
SMT,1000,0,mem,0.2639
SMT,1000,0,nonmem,0.2572
SMT,1000,1,mem,0.206
SMT,1000,1,nonmem,0.2073
SMT,1000,2,mem,0.1901
SMT,1000,2,nonmem,0.1908
SMT,1000,3,mem,0.1966
SMT,1000,3,nonmem,0.1978
SMT,1000,4,mem,0.1842
SMT,1000,4,nonmem,0.1923
SMT,1000,5,mem,0.1879
SMT,1000,5,nonmem,0.1898
SMT,1000,6,mem,0.1858
SMT,1000,6,nonmem,0.198
SMT,1000,7,mem,0.1967
SMT,1000,7,nonmem,0.1921
SMT,1000,8,mem,0.1939
SMT,1000,8,nonmem,0.2044
SMT,1000,9,mem,0.1857
SMT,1000,9,nonmem,0.2046
SMT,2000,0,mem,0.2609
SMT,2000,0,nonmem,0.2331
SMT,2000,1,mem,0.193
SMT,2000,1,nonmem,0.1917
SMT,2000,2,mem,0.192
SMT,2000,2,nonmem,0.1889
SMT,2000,3,mem,0.1922
SMT,2000,3,nonmem,0.1886
SMT,2000,4,mem,0.1957
SMT,2000,4,nonmem,0.1999
SMT,2000,5,mem,0.2173
SMT,2000,5,nonmem,0.2164
SMT,2000,6,mem,0.197
SMT,2000,6,nonmem,0.1929
SMT,2000,7,mem,0.187
SMT,2000,7,nonmem,0.1857
SMT,2000,8,mem,0.197
SMT,2000,8,nonmem,0.1933
SMT,2000,9,mem,0.1891
SMT,2000,9,nonmem,0.1856
SMT,5000,0,mem,0.1988
SMT,5000,0,nonmem,0.2025
SMT,5000,1,mem,0.1999
SMT,5000,1,nonmem,0.2009
SMT,5000,2,mem,0.195
SMT,5000,2,nonmem,0.1866
SMT,5000,3,mem,0.1945
SMT,5000,3,nonmem,0.1867
SMT,5000,4,mem,0.2025
SMT,5000,4,nonmem,0.1944
SMT,5000,5,mem,0.1922
SMT,5000,5,nonmem,0.1868
SMT,5000,6,mem,0.1989
SMT,5000,6,nonmem,0.1913
SMT,5000,7,mem,0.1998
SMT,5000,7,nonmem,0.1857
SMT,5000,8,mem,0.1965
SMT,5000,8,nonmem,0.1983
SMT,5000,9,mem,0.1893
SMT,5000,9,nonmem,0.1919
SMT,10000,0,mem,0.2151
SMT,10000,0,nonmem,0.1861
SMT,10000,1,mem,0.1989
SMT,10000,1,nonmem,0.1962
SMT,10000,2,mem,0.1957
SMT,10000,2,nonmem,0.21
SMT,10000,3,mem,0.1958
SMT,10000,3,nonmem,0.1903
SMT,10000,4,mem,0.189
SMT,10000,4,nonmem,0.1898
SMT,10000,5,mem,0.2516
SMT,10000,5,nonmem,0.1888
SMT,10000,6,mem,0.1961
SMT,10000,6,nonmem,0.2095
SMT,10000,7,mem,0.1986
SMT,10000,7,nonmem,0.2013
SMT,10000,8,mem,0.1858
SMT,10000,8,nonmem,0.1902
SMT,10000,9,mem,0.1948
SMT,10000,9,nonmem,0.1833
